date,close,high,low,open,volume
2023-02-14,41648.3515625,41718.0,41195.75,41410.44921875,143100
2023-02-15,41731.05078125,41795.44921875,41455.6015625,41674.6015625,116300
2023-02-16,41631.3515625,41979.1015625,41521.94921875,41925.69921875,111700
2023-02-17,41131.75,41516.30078125,40882.69921875,41514.0,138800
2023-02-20,40701.69921875,41292.6015625,40580.1015625,41221.55078125,143700
2023-02-21,40673.6015625,40946.19921875,40508.25,40784.8984375,170200
2023-02-22,39995.8984375,40529.25,39899.0,40494.1484375,155200
2023-02-23,40001.55078125,40147.80078125,39600.25,39983.69921875,200500
2023-02-24,39909.3984375,40348.1015625,39818.8984375,40259.1015625,144600
2023-02-27,40307.1015625,40371.44921875,39745.3984375,39820.3984375,165200
2023-02-28,40269.05078125,40391.44921875,40073.0,40302.69921875,327800
2023-03-01,40698.1484375,40725.3515625,40341.94921875,40473.8515625,169800
2023-03-02,40389.80078125,40773.25,40312.8984375,40604.55078125,149200
2023-03-03,41251.3515625,41390.1484375,40605.3515625,40671.3984375,213800
2023-03-06,41350.3984375,41671.19921875,41259.1484375,41418.3984375,180200
2023-03-08,41577.1015625,41625.3515625,41100.3515625,41178.3515625,157600
2023-03-09,41256.75,41659.0,41208.1015625,41532.6484375,119200
2023-03-10,40485.44921875,40839.0,40341.69921875,40805.25,145300
2023-03-13,39564.69921875,40690.05078125,39454.6015625,40356.1015625,174500
2023-03-14,39411.3984375,39768.5,39132.6015625,39522.3984375,205700
2023-03-15,39051.5,39914.1015625,38934.6484375,39777.8984375,164300
2023-03-16,39132.6015625,39381.3984375,38613.1484375,39061.69921875,196300
2023-03-17,39598.1015625,39705.1484375,38926.80078125,39442.3984375,173400
2023-03-20,39361.94921875,39512.1015625,38941.8984375,39512.1015625,173800
2023-03-21,39894.69921875,39970.8984375,39366.30078125,39599.6484375,187900
2023-03-22,39999.05078125,40085.6015625,39837.80078125,40036.0,0
2023-03-23,39616.8984375,40201.6015625,39552.5,39836.1484375,153200
2023-03-24,39395.3515625,39767.8984375,39294.8984375,39555.25,166100
2023-03-27,39431.30078125,39695.19921875,39273.75,39484.69921875,194200
2023-03-28,39567.8984375,39645.19921875,39326.1015625,39545.05078125,202300
2023-03-29,39910.1484375,40055.0,39609.55078125,39611.55078125,259600
2023-03-31,40608.6484375,40690.3984375,40180.19921875,40231.25,188000
2023-04-03,40813.05078125,40857.6015625,40535.8984375,40695.80078125,167500
2023-04-05,40999.1484375,41071.1484375,40802.6484375,40972.30078125,177400
2023-04-06,41041.0,41274.69921875,40820.55078125,40940.69921875,196500
2023-04-10,40834.6484375,41139.8515625,40727.25,41116.1484375,153900
2023-04-11,41366.5,41403.25,40990.19921875,41232.0,219200
2023-04-12,41557.94921875,41610.1484375,41332.0,41426.0,143000
2023-04-13,42132.55078125,42196.19921875,41502.6484375,41680.1015625,232600
2023-04-17,42262.55078125,42603.55078125,41799.0,42603.55078125,229100
2023-04-18,42265.19921875,42500.69921875,42114.3515625,42406.94921875,214200
2023-04-19,42154.0,42339.8984375,42022.1484375,42280.1015625,170000
2023-04-20,42269.5,42378.1484375,42108.8515625,42218.5,180200
2023-04-21,42118.0,42382.1484375,41962.3515625,42252.55078125,144100
2023-04-24,42635.75,42714.1484375,42269.1015625,42469.94921875,201000
2023-04-25,42678.5,42865.55078125,42601.5,42731.6015625,262400
2023-04-26,42829.8984375,42875.6015625,42432.25,42559.05078125,178000
2023-04-27,43000.8515625,43043.3984375,42736.6015625,42753.8984375,181400
2023-04-28,43233.8984375,43302.05078125,42810.3515625,43045.5,238700
2023-05-02,43352.1015625,43483.8515625,43269.3984375,43395.05078125,241600
2023-05-03,43312.69921875,43354.94921875,43078.1484375,43154.8515625,175900
2023-05-04,43685.44921875,43739.80078125,43213.94921875,43236.1015625,175400
2023-05-05,42661.19921875,43588.0,42582.19921875,43110.6484375,251200
2023-05-08,43284.0,43418.55078125,42780.30078125,42796.8515625,223400
2023-05-09,43198.1484375,43533.25,43125.8515625,43438.55078125,229000
2023-05-10,43331.05078125,43383.6484375,42822.1484375,43275.25,249100
2023-05-11,43475.30078125,43774.25,43367.25,43535.1015625,190700
2023-05-12,43793.55078125,43905.94921875,43347.75,43447.1484375,144900
2023-05-15,44072.1015625,44151.69921875,43666.6015625,43821.05078125,161300
2023-05-16,43903.69921875,44144.1484375,43815.69921875,44144.1484375,222500
2023-05-17,43698.69921875,43992.75,43446.3984375,43948.5,203600
2023-05-18,43752.30078125,44079.19921875,43673.69921875,44006.8984375,226500
2023-05-19,43969.3984375,44020.8984375,43531.8984375,43930.0,192000
2023-05-22,43885.1015625,44026.75,43684.8984375,43935.30078125,183800
2023-05-23,43954.44921875,44095.25,43852.19921875,43978.8984375,142000
2023-05-24,43677.8515625,44010.44921875,43639.80078125,43751.94921875,148600
2023-05-25,43681.3984375,43719.8515625,43390.30078125,43630.25,170200
2023-05-26,44018.0,44067.6015625,43588.80078125,43765.3515625,143200
2023-05-29,44311.8984375,44483.3515625,44193.94921875,44276.80078125,148600
2023-05-30,44436.3515625,44498.6015625,44207.5,44277.3515625,157600
2023-05-31,44128.1484375,44339.05078125,43822.69921875,44318.0,305700
2023-06-01,43790.19921875,44179.94921875,43706.1484375,44172.05078125,182900
2023-06-02,43937.8515625,44088.8984375,43812.55078125,43997.30078125,123900
2023-06-05,44101.6484375,44266.1484375,44074.19921875,44103.25,124500
2023-06-06,44164.55078125,44236.19921875,44009.69921875,44156.69921875,123600
2023-06-07,44275.30078125,44346.30078125,44143.5,44318.69921875,119200
