symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
SUNPHARMA,2025-09-15,2025-09-19,4,0.02908860465533447,0.026588604655334473,0.2
TECHM,2025-09-16,2025-09-23,7,-0.038916092933287016,-0.04141609293328702,0.2
INFY,2025-09-16,2025-09-25,9,-0.011050200854590742,-0.013550200854590742,0.2
ITC,2025-09-16,2025-09-26,10,-0.015090990157566542,-0.01759099015756654,0.2
HDFCBANK,2025-09-18,2025-09-26,8,-0.025528599733386725,-0.028028599733386724,0.2
WIPRO,2025-09-23,2025-09-30,7,-0.03083833882270448,-0.03333833882270448,0.2
HCLTECH,2025-09-22,2025-10-06,14,-0.011268863985953614,-0.013768863985953615,0.2
INFY,2025-09-25,2025-10-08,13,0.018950674114776245,0.016450674114776246,0.2
SUNPHARMA,2025-09-30,2025-10-09,9,0.04026844499724813,0.03776844499724813,0.2
ITC,2025-09-29,2025-10-13,14,-0.01559901049312884,-0.01809901049312884,0.2
HDFCBANK,2025-09-26,2025-10-15,19,0.03513042975066516,0.03263042975066516,0.2
ICICIBANK,2025-10-06,2025-10-15,9,0.015182595570782498,0.012682595570782497,0.2
BHARTIARTL,2025-10-10,2025-10-16,6,0.014175988274604423,0.011675988274604423,0.2
SUNPHARMA,2025-10-09,2025-10-17,8,0.012420856543202685,0.009920856543202685,0.2
HCLTECH,2025-10-20,2025-10-27,7,0.02547809559642422,0.022978095596424223,0.2
