symbol,fold_combo,n_train,n_test,n_trades,total_ret,win_rate,sharpe
FEDERALBNK,1+5,745,385,11,0.41087969143918346,0.6363636363636364,2.953
FEDERALBNK,2+3,755,380,21,0.5715879221482727,0.5714285714285714,1.845
FEDERALBNK,2+5,745,385,19,0.3907772753990355,0.5789473684210527,1.51
FEDERALBNK,3+4,755,380,18,0.5420770426679082,0.6666666666666666,2.478
FEDERALBNK,3+5,745,385,19,0.9513519258759149,0.6842105263157895,3.511
FEDERALBNK,4+5,755,385,20,0.7016731239981109,0.65,2.945
GAIL,0+1,897,450,30,0.14917768674033272,0.5,0.506
GAIL,0+2,887,450,29,0.14725007923342504,0.5517241379310345,0.51
GAIL,0+4,887,450,22,0.008950487527312312,0.4090909090909091,0.227
GAIL,0+5,890,452,39,1.016526075815014,0.4358974358974359,0.663
GAIL,1+2,892,450,22,0.07420116336741245,0.6363636363636364,0.447
GAIL,1+3,882,450,11,0.1754054043198292,0.45454545454545453,0.896
GAIL,1+5,885,452,38,0.8832078542159643,0.4473684210526316,0.701
GAIL,2+4,882,450,9,0.17797937387856466,0.4444444444444444,1.077
GAIL,2+5,885,452,10,-0.01729857304837812,0.3,0.043
GAIL,3+5,885,452,7,0.07620345552016361,0.5714285714285714,0.923
GODREJCP,0+1,728,364,16,0.550935405435808,0.6875,2.1
GODREJCP,0+2,718,364,22,-0.18092860316145232,0.5,-0.41
GODREJCP,0+3,718,364,10,-0.0781855023702237,0.4,-0.252
GODREJCP,0+4,718,364,22,0.7172003415520383,0.45454545454545453,0.998
GODREJCP,1+5,713,369,19,0.5033769424364878,0.631578947368421,1.8
GODREJCP,2+3,723,364,19,0.16804297347177388,0.47368421052631576,0.857
GODREJCP,2+4,713,364,19,0.05583774212315551,0.5789473684210527,0.383
GODREJCP,2+5,713,369,29,0.04467932486735138,0.4827586206896552,0.282
GODREJCP,4+5,723,369,18,-0.1639944780751792,0.4444444444444444,-0.51
GODREJPROP,0+1,919,460,28,0.2746714482304191,0.5357142857142857,0.715
GODREJPROP,0+2,909,460,29,0.8432631822867342,0.5862068965517241,1.4
GODREJPROP,0+3,909,460,17,0.26011684818335046,0.47058823529411764,1.058
GODREJPROP,0+5,910,464,31,1.5484872656229411,0.6451612903225806,0.941
GODREJPROP,1+2,914,460,31,-0.038702526152446515,0.45161290322580644,0.237
