symbol,model,oos_acc,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
TECHM,LGBM_V3_TB_2s_5d,0.44878048780487806,205,82,-0.12650838077503856,0.5,-0.8500831339964621,0.3407968021650913,0.47560975609756095
RELIANCE,LGBM_V3_TB_2s_5d,0.5178571428571429,168,0,0.0,0.0,0.0,0.0,0.0
MARUTI,LGBM_V3_TB_2s_5d,0.4537037037037037,108,39,-0.10438521227829112,0.5128205128205128,-2.0072361918474653,0.22228942151557443,0.46153846153846156
LT,LGBM_V3_TB_2s_5d,0.5072463768115942,276,139,-0.20700527696906545,0.5467625899280576,-1.2843515826289282,0.3323165884531166,0.5971223021582733
BHARTIARTL,LGBM_V3_TB_2s_5d,0.49074074074074076,108,79,-0.12893959817683054,0.569620253164557,-1.7524808357615471,0.18200811012475165,0.5443037974683544
ITC,LGBM_V3_TB_2s_5d,0.5377358490566038,106,52,-0.22453008261623286,0.4423076923076923,-4.075038601778251,0.31988773218476396,0.4230769230769231
ASIANPAINT,LGBM_V3_TB_2s_5d,0.5367647058823529,272,163,0.5865195486647685,0.5153374233128835,0.9818545944659556,0.2631057777853412,0.6196319018404908
TITAN,LGBM_V3_TB_2s_5d,0.5012987012987012,385,381,-0.5678987972321639,0.4645669291338583,-1.5451744701176802,0.6268820666059964,0.5013123359580053
SUNPHARMA,LGBM_V3_TB_2s_5d,0.6261682242990654,107,79,0.30170625457871436,0.5949367088607594,1.4438636544082941,0.1386241872885568,0.6075949367088608
NTPC,LGBM_V3_TB_2s_5d,0.5658536585365853,205,102,-0.3931565372794976,0.4215686274509804,-4.194108256019217,0.3873396201503031,0.46078431372549017
TATASTEEL,LGBM_V3_TB_2s_5d,0.5953002610966057,383,96,0.3226491690984885,0.5416666666666666,1.8506351027387273,0.21084156533296994,0.5520833333333334
SBIN,LGBM_V4_horizon5,0.5668662674650699,501,67,0.09991159196371102,0.5970149253731343,1.1811519241007566,0.13723907931253387,0.7910447761194029
HDFCBANK,LGBM_V4_horizon5,0.5977272727272728,440,55,-0.09032393691174267,0.5454545454545454,-0.984996348560322,0.17310508086542892,0.6363636363636364
ICICIBANK,LGBM_V4_horizon5,0.5736263736263736,455,169,-0.3466654775748267,0.47928994082840237,-2.5386636108951453,0.4459942242850494,0.5562130177514792
AXISBANK,LGBM_V4_horizon5,0.5123456790123457,486,69,-0.10893257166697812,0.5217391304347826,-1.2625950980012286,0.24645978778076302,0.5942028985507246
KOTAKBANK,LGBM_V4_horizon5,0.47956989247311826,465,34,0.21716296813969005,0.6470588235294118,3.447592500411741,0.12213043568856737,0.7352941176470589
TCS,LGBM_V4_horizon5,0.43792325056433407,443,219,-0.7210942148830652,0.3835616438356164,-4.832251129174542,0.7323674262967839,0.4794520547945205
INFY,LGBM_V4_horizon5,0.5389473684210526,475,235,0.019913331812632773,0.5191489361702127,0.028730133023496512,0.22600009895634735,0.6042553191489362
HCLTECH,LGBM_V4_horizon5,0.5280665280665281,481,256,-0.14339437880411476,0.546875,-0.48522860769339,0.36237473820438726,0.5546875
WIPRO,LGBM_V4_horizon5,0.5020491803278688,488,22,-0.09528115251779323,0.45454545454545453,-3.9354649401949326,0.11155120650233499,0.5454545454545454
TECHM,LGBM_V4_horizon5,0.5432595573440644,497,265,0.0058589756618190325,0.5320754716981132,-0.02533500271426212,0.42100492854820104,0.5471698113207547
RELIANCE,LGBM_V4_horizon5,0.49356223175965663,466,40,-0.016645472170789932,0.5,-0.3345474409957976,0.12671698006705903,0.575
MARUTI,LGBM_V4_horizon5,0.46271929824561403,456,79,-0.010316635307312305,0.5443037974683544,-0.20409365077554228,0.21049228773374543,0.6329113924050633
LT,LGBM_V4_horizon5,0.5571428571428572,490,263,-0.2662323646427769,0.5285171102661597,-1.0893630170849553,0.4136681215528842,0.5247148288973384
BHARTIARTL,LGBM_V4_horizon5,0.5577342047930284,459,264,-0.029547674935262003,0.5757575757575758,-0.22230501572229694,0.2835885691572123,0.6287878787878788
ITC,LGBM_V4_horizon5,0.5390070921985816,423,50,-0.2529494504645535,0.48,-3.9723635816105585,0.3156960536263304,0.48
ASIANPAINT,LGBM_V4_horizon5,0.48484848484848486,528,383,-0.7575219335624798,0.4516971279373368,-3.4965923566245123,0.778146783527067,0.4699738903394256
TITAN,LGBM_V4_horizon5,0.5156794425087108,574,536,-0.6038962020929617,0.498134328358209,-1.5681548553362143,0.7127943576476731,0.5130597014925373
SUNPHARMA,LGBM_V4_horizon5,0.5548245614035088,456,233,-0.3632928526933351,0.5364806866952789,-2.018058988787123,0.3815789902808729,0.51931330472103
NTPC,LGBM_V4_horizon5,0.501039501039501,481,369,-0.7614036734846444,0.46612466124661245,-2.933416022029786,0.7734337514186163,0.45528455284552843
TATASTEEL,LGBM_V4_horizon5,0.5375816993464052,612,151,-0.08202701859157024,0.5562913907284768,-0.463302899193919,0.22876060091151432,0.5165562913907285
